,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
peculiarly,5,3,1,2,2,0
fortunate,7,0,1,27,9,0
secure,7,4,0,19,2,2
manner,31,33,14,151,124,0
lady,11,37,1,60,0,0
owes,1,1,1,6,8,0
happiness,49,14,0,99,83,0
briefly,2,1,1,1,3,0
story,13,16,16,73,19,0
ago,7,26,7,59,9,1
loved,30,25,0,56,5,0
young,30,54,15,796,77,1
russian,1,6,0,7,0,0
moderate,4,0,0,2,7,0
amassed,1,0,0,5,0,0
considerable,8,10,2,32,11,1
sum,5,1,2,79,22,0
prize,3,1,0,11,7,0
money,10,16,36,166,95,3
girl,28,36,1,198,1,0
consented,5,2,0,7,1,0
match,1,7,2,18,4,0
saw,94,219,55,383,34,1
mistress,3,1,0,33,4,0
destined,5,1,1,18,2,1
ceremony,3,1,0,17,1,0
bathed,1,2,0,12,0,0
tears,32,21,3,85,2,0
throwing,2,2,1,22,2,0
feet,13,46,36,106,13,2
spare,3,3,6,25,2,0
confessing,1,0,0,3,0,0
another,47,91,87,296,381,7
consent,12,5,2,24,4,0
union,16,1,2,11,11,6
generous,6,0,0,15,5,0
reassured,1,1,3,9,0,0
suppliant,1,0,0,0,0,0
informed,4,4,0,50,4,0
name,15,20,32,361,51,0
lover,8,10,0,38,49,0
instantly,16,5,15,48,2,0
abandoned,3,2,2,17,1,0
pursuit,16,1,1,9,23,0
bought,3,3,1,27,2,0
farm,1,0,0,6,0,0
designed,1,0,3,6,10,0
remainder,5,1,1,4,8,0
bestowed,13,0,1,17,2,0
rival,1,1,0,16,4,0
together,9,73,46,69,77,3
remains,13,5,2,25,33,0
purchase,1,14,0,31,1,0
stock,3,4,4,17,8,1
solicited,2,0,0,5,0,0
woman,24,61,4,170,31,0
marriage,15,5,0,93,41,2
old,50,190,121,434,126,26
decidedly,1,0,0,20,0,0
refused,3,4,1,25,5,0
thinking,2,25,14,51,32,0
bound,15,12,12,36,14,4
honour,11,13,7,0,88,1
found,87,153,65,288,107,2
inexorable,3,0,0,4,0,0
quitted,22,0,0,43,0,0
returned,31,22,46,377,5,0
former,14,8,7,40,36,1
married,4,14,2,60,1,0
according,3,2,5,54,58,3
inclinations,2,0,0,0,0,0
noble,11,21,1,67,51,0
fellow,30,54,20,124,14,0
exclaim,1,0,0,4,0,0
wholly,3,0,0,28,28,0
uneducated,1,0,0,1,4,0
silent,15,36,10,58,7,0
turk,10,6,0,0,0,0
kind,34,60,28,102,89,4
ignorant,10,4,2,36,27,0
carelessness,3,0,0,6,1,0
attends,1,0,0,1,2,0
renders,4,0,0,10,2,0
conduct,8,3,4,45,7,0
astonishing,8,1,0,9,0,0
detracts,1,0,0,0,0,0
interest,14,30,4,81,94,6
sympathy,19,12,1,17,6,1
otherwise,8,6,3,23,12,0
command,5,14,6,45,21,2
suppose,7,53,21,77,136,0
complain,1,0,0,16,3,0
conceive,10,1,0,5,33,0
consolation,18,3,0,9,1,0
toils,8,1,0,0,7,0
know,49,396,93,846,205,0
wavering,1,0,2,1,0,0
resolutions,2,0,0,3,0,0
fixed,24,28,3,103,33,1
fate,18,6,4,44,6,0
delayed,5,4,2,10,1,0
weather,9,12,11,15,0,0
permit,5,3,0,35,4,0
embarkation,2,0,0,0,0,0
winter,13,4,1,7,3,0
dreadfully,3,2,2,10,0,0
spring,12,5,10,28,10,1
promises,2,1,0,16,2,0
considered,11,3,1,32,26,0
remarkably,3,0,1,6,1,0
season,9,0,0,9,3,0
sooner,4,1,8,22,9,1
rashly,3,0,0,1,0,0
sufficiently,3,0,0,37,9,0
confide,4,1,0,6,0,0
prudence,1,0,0,13,1,0
considerateness,1,0,0,0,0,0
whenever,1,7,1,17,19,1
safety,10,21,11,21,2,0
committed,12,2,0,35,7,0
care,22,52,10,92,76,1
describe,15,7,1,15,24,0
sensations,32,1,0,6,0,0
