,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
little,0.0016704106906284201,0.0023239085929286783,0.0032433106717395374,0.0014446029984320772,0.0009690023443605105,0.0006763611768684477
boat,0.0004896031334600541,0.0002489902063852155,0.0013409842200461548,0.0002994908655286014,0.0,0.0
holiday,2.8800184321179656e-05,2.7665578487246167e-05,0.0,4.404277434244138e-06,2.083876009377442e-05,0.0
mates,2.8800184321179656e-05,2.7665578487246167e-05,0.0004989708725753134,0.0,0.0,0.0
expedition,0.00011520073728471862,4.1498367730869255e-05,0.0,3.963849690819724e-05,1.041938004688721e-05,0.0
discovery,0.0005184033177812338,8.299673546173851e-05,0.0,7.046843894790621e-05,0.00011461318051575932,0.00033818058843422386
native,0.0008064051609930304,1.3832789243623083e-05,3.1185679535957086e-05,4.404277434244138e-05,4.167752018754884e-05,0.0
river,0.0003456022118541559,0.00041498367730869254,0.00012474271814382835,5.2851329210929655e-05,9.377442042198489e-05,0.0
supposing,5.760036864235931e-05,0.0,0.00012474271814382835,8.808554868488276e-05,0.00016671008075019536,0.0
conjectures,2.8800184321179656e-05,0.0,0.0,4.404277434244138e-06,0.0,0.0
false,0.0001440009216058983,2.7665578487246167e-05,0.0,0.0001849796522382538,0.0004897108622036989,0.0
contest,2.8800184321179656e-05,0.0,0.0,1.3212832302732414e-05,0.00011461318051575932,0.0010145417653026716
inestimable,2.8800184321179656e-05,0.0,0.0,0.0,0.0,0.0
benefit,0.0002016012902482576,0.0,3.1185679535957086e-05,1.7617109736976553e-05,0.00017712946079708258,0.0006763611768684477
confer,2.8800184321179656e-05,2.7665578487246167e-05,0.0,1.7617109736976553e-05,3.125814014066163e-05,0.0
mankind,0.0003168020275329762,2.7665578487246167e-05,0.0,5.2851329210929655e-05,0.0010106798645480594,0.0
last,0.0009504060825989287,0.0019365904941072319,0.003399239069419323,0.001374134559484171,0.0010106798645480594,0.0010145417653026716
generation,5.760036864235931e-05,0.0,0.0,2.202138717122069e-05,0.0004271945819223756,0.0
discovering,8.640055296353897e-05,1.3832789243623083e-05,0.0,3.5234219473953106e-05,1.041938004688721e-05,0.0
passage,0.0002592016588906169,0.0002628229956288386,0.0003118567953595709,0.00020700103940947447,0.00025006512112529306,0.0
near,0.0011232071885260066,0.0006916394621811542,0.0009979417451506268,0.0004404277434244138,0.00023964574107840584,0.0
countries,8.640055296353897e-05,2.7665578487246167e-05,3.1185679535957086e-05,5.2851329210929655e-05,0.00015629070070330816,0.002029083530605343
reach,0.0001440009216058983,0.00017982626016710009,0.00018711407721574253,0.0001849796522382538,0.00017712946079708258,0.0
present,0.0008640055296353896,0.0007884689868865158,0.00015592839767978545,0.000607790285925691,0.0009169054441260745,0.0018599932363882314
many,0.0019584125338402165,0.0014386100813368007,0.0009355703860787127,0.0007134929443475504,0.0030632977337848397,0.0015218126479540075
months,0.0011232071885260066,5.5331156974492333e-05,6.237135907191417e-05,0.00045804485316139034,5.209690023443605e-05,0.0
requisite,2.8800184321179656e-05,0.0,0.0,7.046843894790621e-05,0.0,0.00016909029421711193
ascertaining,2.8800184321179656e-05,1.3832789243623083e-05,0.0,1.3212832302732414e-05,1.041938004688721e-05,0.0
secret,0.0003744023961753355,0.0002628229956288386,0.0002182997567516996,0.0004756619628983669,0.00013545194060953373,0.0
magnet,2.8800184321179656e-05,0.0,0.0,0.0,0.0,0.0
possible,0.0003168020275329762,0.00044264925579593867,0.00034304247489552796,0.0005285132921092966,0.0006147434227663454,0.0008454514710855597
can,0.002678417141869708,0.0052149615448459025,0.0019335121312293395,0.0023518841498863696,0.004678301641052357,0.002198173824822455
effected,2.8800184321179656e-05,1.3832789243623083e-05,0.0,1.7617109736976553e-05,0.00012503256056264653,0.00033818058843422386
mine,0.0008352053453142101,0.00041498367730869254,0.00037422815443148507,0.0004492362982929021,0.0001041938004688721,0.0
reflections,0.0004608029491388745,0.0,0.0,3.082994203970897e-05,0.00016671008075019536,0.0
dispelled,2.8800184321179656e-05,2.7665578487246167e-05,0.0,1.3212832302732414e-05,1.041938004688721e-05,0.0
agitation,0.0004032025804965152,1.3832789243623083e-05,0.0,0.00012331976815883587,0.0,0.00033818058843422386
began,0.0008064051609930304,0.0015631051845294084,0.002806711158236138,0.0005637475115832497,0.00019796822089085698,0.0
letter,0.0007776049766718507,0.0009129640900791236,0.0002182997567516996,0.0010482180293501049,2.083876009377442e-05,0.0
heart,0.0023328149300155523,0.0019227577048636087,0.0010914987837584982,0.0012420062364568469,0.0002083876009377442,0.00016909029421711193
glow,2.8800184321179656e-05,2.7665578487246167e-05,0.00018711407721574253,1.3212832302732414e-05,0.0,0.0
enthusiasm,0.0003168020275329762,1.3832789243623083e-05,0.0,4.844705177668552e-05,5.209690023443605e-05,0.00016909029421711193
elevates,5.760036864235931e-05,0.0,0.0,8.808554868488276e-06,0.0,0.0
heaven,0.0006336040550659524,9.682952470536159e-05,0.00018711407721574253,0.0005505346792805172,0.0006772597030476686,0.0
nothing,0.0011232071885260066,0.0015492723952857854,0.0016216553358697687,0.0018101580254743406,0.0018546496483459235,0.0011836320595197836
contributes,2.8800184321179656e-05,0.0,0.0,0.0,2.083876009377442e-05,0.0
much,0.0012672081101319048,0.0030432136335970784,0.0027131541196282667,0.0020567975617920126,0.001437874446470435,0.0011836320595197836
tranquillise,2.8800184321179656e-05,0.0,0.0,0.0,0.0,0.0
mind,0.0024480156673002706,0.001466275659824047,0.0012162415019023264,0.0010306009196131283,0.0024068767908309455,0.0
steady,5.760036864235931e-05,5.5331156974492333e-05,0.00037422815443148507,3.5234219473953106e-05,1.041938004688721e-05,0.0
purpose,0.0005184033177812338,0.00047031483428318485,0.00018711407721574253,0.0002686609234888924,0.00025006512112529306,0.0
point,0.0004032025804965152,0.0003734853095778233,0.0009979417451506268,0.00044483202085865794,0.0009585829643136233,0.0010145417653026716
soul,0.001094407004204827,0.0008852985115918773,0.00040541383396744217,0.00022902242658069517,0.0035634279760354257,0.0
fix,8.640055296353897e-05,2.7665578487246167e-05,0.0,4.404277434244138e-05,5.209690023443605e-05,0.0
intellectual,2.8800184321179656e-05,5.5331156974492333e-05,0.0,1.3212832302732414e-05,0.00035425892159416517,0.0006763611768684477
eye,0.0005184033177812338,0.00030432136335970786,0.0008731990270067984,0.0006430245053996442,0.0006355821828601198,0.0
favourite,0.0003744023961753355,8.299673546173851e-05,0.00012474271814382835,0.0,4.167752018754884e-05,0.0
dream,0.0005184033177812338,0.0002489902063852155,6.237135907191417e-05,0.0002686609234888924,0.0003021620213597291,0.00016909029421711193
early,0.0004320027648176948,0.000497980412770431,0.0002182997567516996,7.487271638215035e-05,0.00039593644178171397,0.00016909029421711193
years,0.0012672081101319048,0.0004011508880650694,0.00046778519303935633,0.0010966650811267903,0.0008022922636103152,0.00033818058843422386
read,0.0008064051609930304,0.00112045592873347,0.00015592839767978545,0.0007223014992160386,0.00011461318051575932,0.0
ardour,0.0003744023961753355,1.3832789243623083e-05,0.0,0.0,0.0,0.0
accounts,8.640055296353897e-05,1.3832789243623083e-05,3.1185679535957086e-05,5.2851329210929655e-05,0.0,0.0
various,0.000748804792350671,0.00016599347092347702,6.237135907191417e-05,7.927699381639449e-05,0.00025006512112529306,0.0013527223537368955
voyages,0.00011520073728471862,0.0,3.1185679535957086e-05,1.7617109736976553e-05,1.041938004688721e-05,0.0
made,0.002016012902482576,0.0027112266917501244,0.0027443397991642237,0.002620545073375262,0.0019171659286272467,0.0013527223537368955
prospect,0.0003744023961753355,2.7665578487246167e-05,3.1185679535957086e-05,3.5234219473953106e-05,0.0,0.0
arriving,2.8800184321179656e-05,2.7665578487246167e-05,0.0,3.963849690819724e-05,3.125814014066163e-05,0.0
pacific,2.8800184321179656e-05,0.0,0.0,0.0,0.0,0.0
ocean,0.0003744023961753355,1.3832789243623083e-05,6.237135907191417e-05,0.00010570265842185931,4.167752018754884e-05,0.0
seas,0.00017280110592707794,5.5331156974492333e-05,6.237135907191417e-05,4.404277434244138e-06,0.0,0.0
surround,0.00011520073728471862,1.3832789243623083e-05,0.0,1.7617109736976553e-05,4.167752018754884e-05,0.0
remember,0.0006048038707447727,0.0005533115697449233,0.0002806711158236138,0.00040959780138470484,0.0006251628028132326,0.0
history,0.0005472035021024135,8.299673546173851e-05,0.0,0.00024663953631767175,0.00045845272206303727,0.0016909029421711193
purposes,8.640055296353897e-05,5.5331156974492333e-05,0.0,8.808554868488276e-06,5.209690023443605e-05,0.00016909029421711193
composed,0.0001440009216058983,6.916394621811542e-05,0.0,9.689410355337104e-05,0.00011461318051575932,0.0
whole,0.000921605898277749,0.0010097936147844852,0.001060313104222541,0.0007311100540845269,0.0017921333680646,0.003550896178559351
good,0.0010656068198836473,0.003568859624854756,0.003991766980602507,0.0018806264644222468,0.007043500911695754,0.0
uncle,0.0002592016588906169,0.0,0.0,3.082994203970897e-05,1.041938004688721e-05,0.0
thomas,5.760036864235931e-05,9.682952470536159e-05,3.1185679535957086e-05,0.0,6.251628028132327e-05,0.0
library,5.760036864235931e-05,0.00011066231394898467,3.1185679535957086e-05,7.927699381639449e-05,0.0,0.0
education,0.00017280110592707794,0.0,0.0,6.165988407941794e-05,0.0018129721281583745,0.0013527223537368955
neglected,0.0002016012902482576,1.3832789243623083e-05,0.0,4.404277434244138e-05,0.0001041938004688721,0.0
yet,0.004377628016819308,0.002157915122005201,0.0012474271814382836,0.0012860490107992884,0.0019275853086741339,0.0010145417653026716
passionately,2.8800184321179656e-05,0.0,0.0,1.3212832302732414e-05,0.0,0.0
fond,0.00017280110592707794,4.1498367730869255e-05,3.1185679535957086e-05,8.808554868488276e-05,8.335504037509768e-05,0.0
reading,8.640055296353897e-05,0.00023515741714159243,3.1185679535957086e-05,0.00015855398763278897,4.167752018754884e-05,0.0
volumes,5.760036864235931e-05,1.3832789243623083e-05,0.0,2.202138717122069e-05,0.0,0.0
study,0.0005472035021024135,0.0005256459912576772,3.1185679535957086e-05,0.00034353363987104274,0.0005730659025787965,0.0
day,0.0023040147456943726,0.0030570464228407016,0.0014969126177259403,0.0020656061166605005,0.0007189372232352175,0.0
night,0.0026496169575485284,0.004288164665523156,0.0012786128609742406,0.0010482180293501049,0.00016671008075019536,0.0
familiarity,2.8800184321179656e-05,0.0,0.0,8.808554868488276e-06,2.083876009377442e-05,0.0
